Reference, Quantity, Value, Footprint, Datasheet
BT1 ,1,Battery,Pin_Headers:Pin_Header_Straight_1x02,
C1 ,1,10n,Capacitors_ThroughHole:C_Rect_L7_W2_P5,
C2 C4 ,2,10p,Capacitors_ThroughHole:C_Rect_L7_W2_P5,
C5 C6 ,2,0.1u,Capacitors_ThroughHole:C_Rect_L7_W2_P5,
C3 C7 ,2,1u,Capacitors_ThroughHole:C_Rect_L7_W2_P5,
D1 ,1,LED_RCBG,Pin_Headers:Pin_Header_Straight_1x04,
P1 ,1,CONN_01X13,Socket_Strips:Socket_Strip_Straight_1x13,
P2 ,1,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
R1 R2 ,2,1M,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R11 R12 ,2,10R,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R4 ,1,10k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R3 R5 ,2,100M,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R6 ,1,680R,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R10 R7 ,2,68R,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R8 R9 ,2,15R,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
TH1 ,1,THERMISTOR,Pin_Headers:Pin_Header_Straight_1x02,
U1 ,1,MAX4256,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
